seq,time,bid_price,bid_size,ask_price,ask_size
1,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.5037
2,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.50352
3,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.50347
4,2025-09-13 12:34:23,115715.99,9.30857,115716.0,2.50347
5,2025-09-13 12:34:23,115715.99,9.30857,115716.0,2.50296
6,2025-09-13 12:34:23,115715.99,9.30857,115716.0,2.50231
7,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.50231
8,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.50111
9,2025-09-13 12:34:23,115715.99,9.30862,115716.0,2.50098
10,2025-09-13 12:34:23,115715.99,9.30857,115716.0,2.50098
11,2025-09-13 12:34:23,115715.99,9.30857,115716.0,2.50103
12,2025-09-13 12:34:24,115715.99,9.30857,115716.0,2.50059
13,2025-09-13 12:34:24,115715.99,9.30857,115716.0,2.50036
14,2025-09-13 12:34:24,115715.99,9.30857,115716.0,2.50002
15,2025-09-13 12:34:24,115715.99,9.30857,115716.0,2.49793
16,2025-09-13 12:34:25,115715.99,9.30857,115716.0,2.50003
17,2025-09-13 12:34:25,115715.99,9.26687,115716.0,2.50003
18,2025-09-13 12:34:25,115715.99,9.26653,115716.0,2.50003
19,2025-09-13 12:34:25,115715.99,9.26578,115716.0,2.50003
20,2025-09-13 12:34:25,115715.99,9.26578,115716.0,2.50857
21,2025-09-13 12:34:25,115715.99,9.26583,115716.0,2.50857
22,2025-09-13 12:34:25,115715.99,9.26664,115716.0,2.50857
23,2025-09-13 12:34:26,115715.99,9.26598,115716.0,2.50857
24,2025-09-13 12:34:26,115715.99,9.26598,115716.0,2.87939
25,2025-09-13 12:34:26,115715.99,9.26598,115716.0,3.26189
26,2025-09-13 12:34:26,115715.99,9.26598,115716.0,3.31189
27,2025-09-13 12:34:26,115715.99,9.26593,115716.0,3.31189
28,2025-09-13 12:34:26,115715.99,9.26593,115716.0,3.31194
29,2025-09-13 12:34:26,115715.99,9.26593,115716.0,3.31199
30,2025-09-13 12:34:26,115715.99,9.26598,115716.0,3.31199
31,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.31199
32,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.31194
33,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.31235
34,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.3123
35,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.31225
36,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.3123
37,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.3102
38,2025-09-13 12:34:26,115715.99,9.26518,115716.0,3.31229
39,2025-09-13 12:34:26,115715.99,9.26437,115716.0,3.31229
40,2025-09-13 12:34:27,115715.99,9.26437,115716.0,3.31234
41,2025-09-13 12:34:27,115715.99,9.26432,115716.0,3.31234
42,2025-09-13 12:34:27,115715.99,9.26432,115716.0,3.31226
43,2025-09-13 12:34:27,115715.99,9.26437,115716.0,3.31226
44,2025-09-13 12:34:27,115715.99,9.26519,115716.0,3.31226
45,2025-09-13 12:34:27,115715.99,9.26519,115716.0,3.31221
46,2025-09-13 12:34:27,115715.99,9.26519,115716.0,3.31215
47,2025-09-13 12:34:27,115715.99,9.26519,115716.0,3.31232
48,2025-09-13 12:34:28,115715.99,9.26519,115716.0,3.31318
49,2025-09-13 12:34:28,115715.99,9.26519,115716.0,3.31232
50,2025-09-13 12:34:28,115715.99,9.26519,115716.0,3.31237
51,2025-09-13 12:34:28,115715.99,9.26519,115716.0,3.31232
52,2025-09-13 12:34:28,115715.99,9.26273,115716.0,3.31232
53,2025-09-13 12:34:28,115715.99,9.26191,115716.0,3.31232
54,2025-09-13 12:34:28,115715.99,9.26439,115716.0,3.31232
55,2025-09-13 12:34:28,115715.99,9.26444,115716.0,3.31232
56,2025-09-13 12:34:28,115715.99,9.26526,115716.0,3.31232
57,2025-09-13 12:34:28,115715.99,9.26526,115716.0,3.31227
58,2025-09-13 12:34:28,115715.99,9.2651,115716.0,3.31227
59,2025-09-13 12:34:28,115715.99,9.26505,115716.0,3.31227
60,2025-09-13 12:34:28,115715.99,9.2651,115716.0,3.31227
61,2025-09-13 12:34:28,115715.99,9.2651,115716.0,3.31233
62,2025-09-13 12:34:28,115715.99,9.26528,115716.0,3.31233
63,2025-09-13 12:34:28,115715.99,9.26528,115716.0,3.31992
64,2025-09-13 12:34:28,115715.99,9.26533,115716.0,3.31992
65,2025-09-13 12:34:28,115715.99,9.26528,115716.0,3.31992
66,2025-09-13 12:34:28,115715.99,9.26097,115716.0,3.31992
67,2025-09-13 12:34:28,115715.99,9.26102,115716.0,3.31992
68,2025-09-13 12:34:28,115715.99,9.26097,115716.0,3.31992
69,2025-09-13 12:34:29,115715.99,9.26097,115716.0,3.31943
70,2025-09-13 12:34:29,115715.99,9.26087,115716.0,3.31943
71,2025-09-13 12:34:29,115715.99,9.25839,115716.0,3.31943
72,2025-09-13 12:34:29,115715.99,9.26088,115716.0,3.31943
73,2025-09-13 12:34:29,115715.99,9.26088,115716.0,3.31734
74,2025-09-13 12:34:29,115715.99,9.26088,115716.0,3.31941
75,2025-09-13 12:34:29,115715.99,9.26088,115716.0,3.26941
76,2025-09-13 12:34:30,115715.99,9.26069,115716.0,3.26941
77,2025-09-13 12:34:30,115715.99,9.26051,115716.0,3.26941
78,2025-09-13 12:34:30,115715.99,9.26051,115716.0,2.88691
79,2025-09-13 12:34:30,115715.99,9.77886,115716.0,2.88691
80,2025-09-13 12:34:30,115715.99,9.26051,115716.0,2.88691
81,2025-09-13 12:34:30,115715.99,9.26046,115716.0,2.88691
82,2025-09-13 12:34:30,115715.99,9.26051,115716.0,2.88691
83,2025-09-13 12:34:30,115715.99,9.26051,115716.0,2.88686
84,2025-09-13 12:34:30,115715.99,9.26065,115716.0,2.88686
85,2025-09-13 12:34:30,115715.99,9.2606,115716.0,2.88686
86,2025-09-13 12:34:30,115715.99,9.2606,115716.0,2.88691
87,2025-09-13 12:34:30,115715.99,9.2606,115716.0,2.88686
88,2025-09-13 12:34:30,115715.99,9.26065,115716.0,2.88686
89,2025-09-13 12:34:30,115715.99,9.2606,115716.0,2.88686
90,2025-09-13 12:34:30,115715.99,9.25896,115716.0,2.88686
91,2025-09-13 12:34:30,115715.99,9.25896,115716.0,2.89013
92,2025-09-13 12:34:30,115715.99,9.25896,115716.0,2.89099
93,2025-09-13 12:34:30,115715.99,9.25896,115716.0,2.88922
94,2025-09-13 12:34:30,115715.99,9.25896,115716.0,2.88836
95,2025-09-13 12:34:30,115715.99,9.20052,115716.0,2.88836
